msno,is_churn,city,bd,gender,registered_via,registration_init_time,bd_clean,num_transactions,last_transaction_date,last_expire_date,last_plan_price,last_amount_paid,last_payment_method,last_payment_plan_days,is_auto_renew,any_cancel,active_days,first_log_date,last_log_date,total_secs_sum,total_secs_mean,num_unq_mean,num_100_sum,num_25_sum,has_member_record,has_transactions,has_logs,is_age_missing,days_since_last_transaction,days_since_last_log
jPnRUrxEFZ71o38gwQSgkyja56Mz8NUK+Q3d6yBQNYg=,0,5.0,19.0,male,7.0,2015-06-19,19.0,1.0,2017-03-12,2017-04-12,99.0,99.0,41.0,30.0,1.0,0.0,28.0,2017-03-01,2017-03-31,105572.786,3770.4566428571434,12.428571428571429,322.0,156.0,True,True,True,False,19.0,0.0
O35R1RlzfsyTF7wW6FqNfHOUiKmOfq0p4LtPLuwH+y4=,0,15.0,88.0,male,9.0,2005-11-02,88.0,1.0,2017-03-31,2017-04-30,149.0,149.0,31.0,30.0,1.0,0.0,30.0,2017-03-02,2017-03-31,364159.776,12138.6592,44.96666666666667,1364.0,375.0,True,True,True,False,0.0,0.0
T2kAaQkKHy1k08W1ExIi47cUy4Q7eX00Vk5S6e46rj0=,0,3.0,21.0,male,4.0,2015-11-27,21.0,1.0,2017-03-24,2017-04-23,149.0,149.0,38.0,30.0,0.0,0.0,15.0,2017-03-01,2017-03-30,34043.494,2269.5662666666667,12.133333333333333,134.0,63.0,True,True,True,False,7.0,1.0
iGpjQPGF+N55O6WJTrEe3G8lru7L0kP2L+RaKDkj9cQ=,0,1.0,0.0,,7.0,2011-10-11,,1.0,2017-03-14,2017-04-14,99.0,99.0,41.0,30.0,1.0,0.0,22.0,2017-03-02,2017-03-28,58806.72,2673.0327272727272,6.136363636363637,234.0,17.0,True,True,True,True,17.0,3.0
60jtevvlQVTsNnVHqaw/UTwQ/gh1Az6LnCLSdDeNEPQ=,0,1.0,0.0,,7.0,2016-02-05,,1.0,2017-03-05,2017-04-05,99.0,99.0,41.0,30.0,1.0,0.0,19.0,2017-03-01,2017-03-31,60382.417,3178.021947368421,8.0,217.0,43.0,True,True,True,True,26.0,0.0
tBAoh+yXcATSizEc044fXk7JqfhFzVkxowA9T7bdxNk=,0,1.0,0.0,,7.0,2013-06-02,,1.0,2017-03-31,2017-04-30,129.0,129.0,41.0,30.0,1.0,0.0,30.0,2017-03-01,2017-03-31,397945.895,13264.863166666668,40.03333333333333,1449.0,261.0,True,True,True,True,0.0,0.0
O430RKO7CsE9YmthTF+aQ1VmMq/EzdhSPANHL/ADVsg=,0,5.0,39.0,female,3.0,2014-11-23,39.0,2.0,2017-03-31,2017-05-07,149.0,149.0,39.0,30.0,1.0,0.0,7.0,2017-03-04,2017-03-28,43137.04,6162.434285714286,27.0,178.0,9.0,True,True,True,False,0.0,3.0
rUHlSVDIk3Zy3KSbIkMS5uupRe8z9hBQJN3w6ARbgUg=,0,4.0,22.0,male,9.0,2016-10-12,22.0,1.0,2017-03-09,2017-04-08,149.0,149.0,38.0,30.0,0.0,0.0,22.0,2017-03-01,2017-03-31,113087.314,5140.332454545454,25.772727272727277,385.0,168.0,True,True,True,False,22.0,0.0
vMoIh1J3AMwMVh45NQL+dJSkFnuIaEdgvXUpE4bHWo4=,0,22.0,34.0,female,3.0,2013-05-17,34.0,1.0,2017-03-24,2017-04-24,149.0,149.0,40.0,30.0,1.0,0.0,19.0,2017-03-01,2017-03-27,65198.986,3431.525578947368,17.63157894736842,237.0,106.0,True,True,True,False,7.0,4.0
J/OD+btuMLNMAtM5eBM11lyKePRRk4nHF/PfwTAFOUY=,0,1.0,0.0,,3.0,2014-08-31,,2.0,2017-03-20,2017-05-19,180.0,180.0,36.0,30.0,0.0,0.0,18.0,2017-03-08,2017-03-30,62269.035,3459.390833333333,18.11111111111111,241.0,69.0,True,True,True,True,11.0,1.0
WWhPQeD9TILtn4LfTJWMJ3wVOVO5BbOlBh3QowlPepg=,0,6.0,18.0,female,7.0,2014-11-02,18.0,1.0,2017-03-03,2017-04-05,99.0,99.0,41.0,30.0,1.0,0.0,19.0,2017-03-05,2017-03-31,50037.099,2633.531526315789,9.421052631578949,242.0,41.0,True,True,True,False,28.0,0.0
hVhOkCBlqAYmj1W0tKwc02DUEAPzmDUmwqz2648mGKw=,0,1.0,0.0,,7.0,2016-07-31,,1.0,2017-03-31,2017-04-30,99.0,99.0,41.0,30.0,1.0,0.0,29.0,2017-03-01,2017-03-31,329820.261,11373.112448275862,51.10344827586207,1249.0,235.0,True,True,True,True,0.0,0.0
P6JFzM8P21JPQ1YT8a/opgAbmSE1CzRVPSZL3TCEmbE=,0,1.0,0.0,,7.0,2012-12-22,,1.0,2017-03-04,2017-04-04,149.0,149.0,41.0,30.0,1.0,0.0,3.0,2017-03-20,2017-03-25,10510.276,3503.425333333333,8.333333333333334,43.0,1.0,True,True,True,True,27.0,6.0
vBWARQxfnTJtxpQ9ki8KU/74VEugbc3fVZpRjl1TCJ0=,0,13.0,36.0,female,9.0,2010-11-28,36.0,1.0,2017-03-16,2017-04-15,149.0,149.0,37.0,30.0,1.0,0.0,27.0,2017-03-01,2017-03-31,817929.802,30293.69637037037,79.96296296296296,3534.0,14.0,True,True,True,False,15.0,0.0
7yyJDh5uZRvKBQ2QjMdvjvsKFDUcEm7eeVBKdr5HBz0=,0,1.0,0.0,,7.0,2017-01-03,,1.0,2017-03-02,2017-04-02,99.0,99.0,41.0,30.0,1.0,0.0,27.0,2017-03-01,2017-03-31,271315.58900000004,10048.72551851852,40.11111111111112,972.0,231.0,True,True,True,True,29.0,0.0
n6WzmhNob55OULoAco/gGF2KiFrNgcvviTGffDSiWvQ=,0,1.0,0.0,,7.0,2015-07-31,,2.0,2017-03-14,2017-04-13,100.0,100.0,41.0,30.0,1.0,1.0,17.0,2017-03-14,2017-03-30,62748.336,3691.0785882352943,14.352941176470589,223.0,75.0,True,True,True,True,17.0,1.0
daB/XHJWs89e71NMoDxSHUA9jokJIs78qW2eO2feMMs=,0,1.0,0.0,,7.0,2016-01-21,,1.0,2017-03-21,2017-04-21,99.0,99.0,41.0,30.0,1.0,0.0,28.0,2017-03-01,2017-03-31,113973.14,4070.469285714286,19.0,448.0,73.0,True,True,True,True,10.0,0.0
ttQgo8ZRwzFxGxoXk+NgwqTnQQpRtbp0bjYnbLJuIWc=,0,1.0,0.0,,7.0,2013-02-18,,1.0,2017-03-04,2017-04-04,99.0,99.0,41.0,30.0,1.0,0.0,31.0,2017-03-01,2017-03-31,239423.815,7723.348870967742,22.774193548387096,919.0,170.0,True,True,True,True,27.0,0.0
XLACnzCUSX6vX7fgiLkqQiZQsIrOiJBmbKPJZe3y7Ww=,0,1.0,0.0,,7.0,2015-11-06,,1.0,2017-03-06,2017-04-06,99.0,99.0,41.0,30.0,1.0,0.0,2.0,2017-03-09,2017-03-17,790.71,395.355,1.5,4.0,2.0,True,True,True,True,25.0,14.0
V3tT1w0MguHI4Xnjh1pwfSac8Uqc4O5A61VRtIjf0PI=,0,1.0,0.0,,7.0,2015-11-07,,1.0,2017-03-07,2017-04-07,99.0,99.0,41.0,30.0,1.0,0.0,9.0,2017-03-02,2017-03-14,21052.296,2339.144,9.11111111111111,79.0,22.0,True,True,True,True,24.0,17.0
6kDJA4c2VYwnO1xDYgifqm8pbyHdFWPaLV+DTJ1YHm0=,0,1.0,0.0,,7.0,2013-12-19,,1.0,2017-03-16,2017-04-16,99.0,99.0,41.0,30.0,1.0,0.0,7.0,2017-03-03,2017-03-24,49402.342,7057.477428571428,27.285714285714285,198.0,11.0,True,True,True,True,15.0,7.0
